District,Ethnicity,Fin Sup By Fam Sup Pct,Fin Sup By Fin Aids Pct,Fin Sup By Job Pct,Fin Sup By Oth Pct,Fin Sup By Per Sav Pct,Fin Sup By Schl Prize Pct,Have Own Desk At Home,Have Own Room At Home,High Edu Lvl Father,High Edu Lvl Mother,Mth Household Income,Nbr Of Household Member,Norm Travel Time,Number of Records,Place Of Birth,Religion,Residency,Snap Dat,Survey Year,Type Of Fam House,Wh Stdt Key,Work Exp,Year Of Resd In Hk
Sha Tin,Chinese,60,0,20,0,20,0,Yes,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115146,Part-time job experience only,Since birth
Tai Po,N/A,60,0,10,0,30,0,Yes,Yes,University education,Secondary education/ Matriculation,Not applicable,3,120 - 179 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115383,Part-time job experience only,Since birth
Wong Tai Sin,N/A,50,0,25,5,15,5,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$30,000 - HK$39,999",6,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,32798,Part-time job experience only,Since birth
Kowloon City,Chinese,60,0,10,0,30,0,Yes,Yes,Primary education,University education,"HK$20,000 - HK$29,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116316,Part-time job experience only,Since birth
Southern,N/A,80,0,0,0,20,0,Yes,Yes,Post-secondary education,University education,"HK$30,000 - HK$39,999",2,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Others (e.g. staff quarters),116318,No experience at all,Since birth
Tuen Mun,N/A,90,0,10,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$90,000 - HK$99,999",3,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116319,No experience at all,Since birth
Tsuen Wan,Indian,50,30,10,0,10,0,Yes,No,Secondary education/ Matriculation,University education,Not applicable,4,60 - 119 minutes,1,India,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115078,Part-time job experience only,7 years or more
Eastern,N/A,0,100,0,0,0,0,No,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),110346,No experience at all,Since birth
Tsuen Wan,Chinese,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),37975,Part-time job experience only,Since birth
Eastern,N/A,60,0,10,0,30,0,Yes,No,University education,University education,"HK$20,000 - HK$29,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115391,No experience at all,Since birth
Wong Tai Sin,N/A,90,0,10,0,0,0,Yes,Yes,Post-secondary education,Post-secondary education,"HK$50,000 - HK$59,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115392,Part-time job experience only,Since birth
