Home Lang,Number of Records,Snap Dat,Survey Year,Wh Stdt Key
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110901
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110902
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110903
Chinese,1,23/12/2020 12:00:00 AM,2018,110904
Korean,1,23/12/2020 12:00:00 AM,2018,110906
Chinese,1,23/12/2020 12:00:00 AM,2018,110907
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110913
Other languages not classified above,1,23/12/2020 12:00:00 AM,2018,110915
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110919
English,1,23/12/2020 12:00:00 AM,2018,110920
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110925
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110927
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110928
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110930
Korean,1,23/12/2020 12:00:00 AM,2018,110931
Chinese,1,23/12/2020 12:00:00 AM,2018,110933
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110935
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110938
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110940
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110942
English,1,23/12/2020 12:00:00 AM,2018,110943
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110944
Chinese,1,23/12/2020 12:00:00 AM,2018,110945
Indonesian,1,23/12/2020 12:00:00 AM,2018,110946
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110947
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110950
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110951
Not Applicable,1,23/12/2020 12:00:00 AM,2018,110952
Chinese,1,23/12/2020 12:00:00 AM,2018,110956
Not Applicable,1,23/12/2020 12:00:00 AM,2018,111439
Not Applicable,1,23/12/2020 12:00:00 AM,2018,111441
Not Applicable,1,23/12/2020 12:00:00 AM,2018,111443
Not Applicable,1,23/12/2020 12:00:00 AM,2018,111444
Korean,1,23/12/2020 12:00:00 AM,2018,111465
Korean,1,23/12/2020 12:00:00 AM,2018,111474
English,1,23/12/2020 12:00:00 AM,2018,111475
